Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
REST API,,,,2019-12-12 10:44:58,2019-12-12 10:45:17,18.554s,PASSED
,,,,,,,
Test Cases/REST API,,,,2019-12-12 10:44:59,2019-12-12 10:45:17,18.307s,PASSED
"Response = sendRequestAndVerify(findTestObject(""REST API/List Users""))",,,,2019-12-12 10:44:59,2019-12-12 10:45:06,7.207s,PASSED
"Response = sendRequestAndVerify(findTestObject(""REST API/Single User""))",,,,2019-12-12 10:45:06,2019-12-12 10:45:08,1.481s,PASSED
"Response = sendRequestAndVerify(findTestObject(""REST API/Single User Not Found""))",,,,2019-12-12 10:45:08,2019-12-12 10:45:11,3.467s,PASSED
"sendRequestAndVerify(findTestObject(""REST API/Create User""))",,,,2019-12-12 10:45:11,2019-12-12 10:45:17,5.858s,PASSED
